date,model,navperunit
2025/4/24 16:00,deep-growth,1
2025/4/25 16:00,deep-growth,1.000805991
2025/4/26 16:00,deep-growth,1.006163719
2025/4/27 16:00,deep-growth,1.009998901
2025/4/28 16:00,deep-growth,1.005085058
2025/4/29 16:00,deep-growth,1.011318687
2025/4/30 16:00,deep-growth,1.013071571
2025/5/1 16:00,deep-growth,1.007357652
2025/5/2 16:00,deep-growth,1.006828464
2025/5/3 16:00,deep-growth,1.010628068
2025/5/4 16:00,deep-growth,1.007806419
2025/5/5 16:00,deep-growth,1.008799661
2025/5/6 16:00,deep-growth,1.016800224
2025/5/7 16:00,deep-growth,1.016406513
2025/5/8 16:00,deep-growth,1.019468747
2025/5/9 16:00,deep-growth,1.035656934
2025/5/10 16:00,deep-growth,1.046515743
2025/5/11 16:00,deep-growth,1.062572899
2025/5/12 16:00,deep-growth,1.076480138
2025/5/13 16:00,deep-growth,1.077173174
2025/5/14 16:00,deep-growth,1.083678534
2025/5/15 16:00,deep-growth,1.088548268
2025/5/16 16:00,deep-growth,1.085318231
2025/5/17 16:00,deep-growth,1.077367814
2025/5/18 16:00,deep-growth,1.083334174
2025/5/19 16:00,deep-growth,1.082925335
2025/5/20 16:00,deep-growth,1.084565062
2025/5/21 16:00,deep-growth,1.082901083
2025/5/22 16:00,deep-growth,1.08236239
2025/5/23 16:00,deep-growth,1.082782949
2025/5/24 16:00,deep-growth,1.078263354
2025/5/25 16:00,deep-growth,1.077181898
2025/5/26 16:00,deep-growth,1.077632346
2025/5/27 16:00,deep-growth,1.081249132
2025/5/28 16:00,deep-growth,1.073060948
2025/5/29 16:00,deep-growth,1.066518675
2025/5/30 16:00,deep-growth,1.061545127
2025/5/31 16:00,deep-growth,1.051318671
2025/6/1 16:00,deep-growth,1.07280318
2025/6/2 16:00,deep-growth,1.069091433
2025/6/3 16:00,deep-growth,1.068207551
2025/6/4 16:00,deep-growth,1.068572746
2025/6/5 16:00,deep-growth,1.067738596
2025/6/6 16:00,deep-growth,1.065926425
2025/6/7 16:00,deep-growth,1.064591386
2025/6/8 16:00,deep-growth,1.066766949
2025/6/9 16:00,deep-growth,1.068419178
2025/6/10 16:00,deep-growth,1.073185453
2025/6/11 16:00,deep-growth,1.080446775
2025/6/12 16:00,deep-growth,1.079816771
2025/6/13 16:00,deep-growth,1.08612822
2025/6/14 16:00,deep-growth,1.090008114
2025/6/15 16:00,deep-growth,1.089785001
2025/6/16 16:00,deep-growth,1.093593981
2025/6/17 16:00,deep-growth,1.088950876
2025/6/18 16:00,deep-growth,1.085798636
2025/6/19 16:00,deep-growth,1.086840161
2025/6/20 16:00,deep-growth,1.088068481
2025/6/21 16:00,deep-growth,1.075981008
2025/6/22 16:00,deep-growth,1.064744175
2025/6/23 16:00,deep-growth,1.061604825
2025/6/24 16:00,deep-growth,1.077540575
2025/6/25 16:00,deep-growth,1.071230299
2025/6/26 16:00,deep-growth,1.06805597
2025/6/27 16:00,deep-growth,1.052413066
2025/6/28 16:00,deep-growth,1.050774923
2025/6/29 16:00,deep-growth,1.051478958
2025/6/30 16:00,deep-growth,1.050796275
2025/7/1 16:00,deep-growth,1.040623018
2025/7/2 16:00,deep-growth,1.046026441
2025/7/3 16:00,deep-growth,1.053760912
2025/7/4 16:00,deep-growth,1.047097477
2025/7/5 16:00,deep-growth,1.045302571
2025/7/6 16:00,deep-growth,1.042839999
2025/7/7 16:00,deep-growth,1.040114262
2025/7/8 16:00,deep-growth,1.039365616
2025/7/9 16:00,deep-growth,1.036492668
2025/7/10 16:00,deep-growth,1.032675132
2025/7/11 16:00,deep-growth,1.04226341
2025/7/12 16:00,deep-growth,1.034631611
2025/7/13 16:00,deep-growth,1.038031639
2025/7/14 16:00,deep-growth,1.034298778
2025/7/15 16:00,deep-growth,1.034730488
2025/7/16 16:00,deep-growth,1.02873004
2025/7/17 16:00,deep-growth,1.035016992
2025/7/18 16:00,deep-growth,1.036250736
2025/7/19 16:00,deep-growth,1.043423561
2025/7/20 16:00,deep-growth,1.03755971
2025/7/21 16:00,deep-growth,1.024654443
2025/7/22 16:00,deep-growth,1.027452576
2025/7/23 16:00,deep-growth,1.019204239
2025/7/24 16:00,deep-growth,1.031593762
2025/7/25 16:00,deep-growth,1.038377853
2025/7/26 16:00,deep-growth,1.031421433
2025/7/27 16:00,deep-growth,1.033584004
2025/7/28 16:00,deep-growth,1.033470719
2025/7/29 16:00,deep-growth,1.037791151
2025/7/30 16:00,deep-growth,1.051546659
2025/7/31 16:00,deep-growth,1.04738847
2025/8/1 16:00,deep-growth,1.056594311
2025/8/2 16:00,deep-growth,1.056448234
2025/8/3 16:00,deep-growth,1.058430099
2025/8/4 16:00,deep-growth,1.048555729
2025/8/5 16:00,deep-growth,1.055459183
2025/8/6 16:00,deep-growth,1.060248319
2025/8/7 16:00,deep-growth,1.056109274
2025/8/8 16:00,deep-growth,1.054853894
2025/8/9 16:00,deep-growth,1.048328528
2025/8/10 16:00,deep-growth,1.050165106
2025/8/11 16:00,deep-growth,1.044789309
2025/8/12 16:00,deep-growth,1.052173205
2025/8/13 16:00,deep-growth,1.048220891
2025/8/14 16:00,deep-growth,1.053648921
2025/8/15 16:00,deep-growth,1.061205132
2025/8/16 16:00,deep-growth,1.067829841
2025/8/17 16:00,deep-growth,1.068504166
2025/8/18 16:00,deep-growth,1.067972988
2025/8/19 16:00,deep-growth,1.063851514
2025/8/20 16:00,deep-growth,1.071155735
2025/8/21 16:00,deep-growth,1.069546123
2025/8/22 16:00,deep-growth,1.070789259
2025/8/23 16:00,deep-growth,1.062462256
2025/8/24 16:00,deep-growth,1.065828582
2025/8/25 16:00,deep-growth,1.071086569
2025/8/26 16:00,deep-growth,1.073726664
