Date,NAV per unit
2024/8/1,0.970154595
2024/8/2,0.969961363
2024/8/3,0.968744104
2024/8/4,0.965963866
2024/8/5,0.967296299
2024/8/6,0.966860181
2024/8/7,0.967715663
2024/8/8,0.9690109
2024/8/9,0.970161238
2024/8/10,0.97077224
2024/8/11,0.971849317
2024/8/12,0.97266927
2024/8/13,0.973898552
2024/8/14,0.974372298
2024/8/15,0.975559401
2024/8/16,0.977213995
2024/8/17,0.977016724
2024/8/18,0.978296108
2024/8/19,0.979272733
2024/8/20,0.979857771
2024/8/21,0.979151364
2024/8/22,0.979287883
2024/8/23,0.976394809
2024/8/24,0.974549847
2024/8/25,0.976324282
2024/8/26,0.977762578
2024/8/27,0.977563411
2024/8/28,0.980684475
2024/8/29,0.976504347
2024/8/30,0.976391195
2024/8/31,0.97532716
2024/9/1,0.975265276
2024/9/2,0.974783646
2024/9/3,0.973265591
2024/9/4,0.977109834
2024/9/5,0.976400905
2024/9/6,0.977150981
2024/9/7,0.976572359
2024/9/8,0.976855728
2024/9/9,0.976131185
2024/9/10,0.975964264
2024/9/11,0.975995803
2024/9/12,0.974977198
2024/9/13,0.973919314
2024/9/14,0.973558863
2024/9/15,0.97280026
2024/9/16,0.974330925
2024/9/17,0.973716492
2024/9/18,0.972041172
2024/9/19,0.969982601
2024/9/20,0.969363957
2024/9/21,0.968685382
2024/9/22,0.969715346
2024/9/23,0.968631399
2024/9/24,0.969063582
2024/9/25,0.968594994
2024/9/26,0.969392121
2024/9/27,0.968522802
2024/9/28,0.96831
2024/9/29,0.969310723
2024/9/30,0.968963957
2024/10/1,0.968219414
2024/10/2,0.967005929
2024/10/3,0.966884372
2024/10/4,0.963804992
2024/10/5,0.962844273
2024/10/6,0.962817401
2024/10/7,0.963038494
2024/10/8,0.962086983
2024/10/9,0.961064004
2024/10/10,0.960918459
2024/10/11,0.959854783
2024/10/12,0.960967571
2024/10/13,0.960006515
2024/10/14,0.960575556
2024/10/15,0.961297438
2024/10/16,0.957998102
2024/10/17,0.958364678
2024/10/18,0.957271264
2024/10/19,0.956702021
2024/10/20,0.95728147
2024/10/21,0.95684766
2024/10/22,0.959087409
2024/10/23,0.958250589
2024/10/24,0.962857031
2024/10/25,0.964085313
2024/10/26,0.964314289
2024/10/27,0.964326874
2024/10/28,0.963397611
2024/10/29,0.965741977
2024/10/30,0.966420687
2024/10/31,0.967531862
2024/11/1,0.966290348
2024/11/2,0.966209979
2024/11/3,0.967007252
2024/11/4,0.969028954
2024/11/5,0.969821
2024/11/6,0.969040708
2024/11/7,0.968152654
2024/11/8,0.969872781
2024/11/9,0.970252236
2024/11/10,0.974231809
2024/11/11,0.979188686
2024/11/12,0.9826455
2024/11/13,0.988940559
2024/11/14,0.996315304
2024/11/15,0.996413338
2024/11/16,0.994970968
2024/11/17,0.997650209
2024/11/18,0.997914183
2024/11/19,1.0015996
2024/11/20,1.005141074
2024/11/21,1.007952019
2024/11/22,1.011287216
2024/11/23,1.009141806
2024/11/24,1.007218784
2024/11/25,1.009748935
2024/11/26,1.011459927
2024/11/27,1.016983397
2024/11/28,1.019429814
2024/11/29,1.020638525
2024/11/30,1.022556583
2024/12/1,1.02451202
2024/12/2,1.024848092
2024/12/3,1.026932465
2024/12/4,1.03557919
2024/12/5,1.037599338
2024/12/6,1.042425649
2024/12/7,1.04498191
2024/12/8,1.045407272
2024/12/9,1.044876707
2024/12/10,1.045202421
2024/12/11,1.045807445
2024/12/12,1.044693378
2024/12/13,1.045568523
2024/12/14,1.046845221
2024/12/15,1.047881831
2024/12/16,1.048636712
2024/12/17,1.049959804
2024/12/18,1.052103731
2024/12/19,1.052641597
2024/12/20,1.053120233
2024/12/21,1.055835064
2024/12/22,1.053511116
2024/12/23,1.054324085
2024/12/24,1.050423085
2024/12/25,1.044587961
2024/12/26,1.046816024
2024/12/27,1.04665
2024/12/28,1.047446125
2024/12/29,1.047446125
2024/12/30,1.047446125
2024/12/31,1.047446125
2025/1/1,1.047446125
2025/1/2,1.047446125
2025/1/3,1.047446125
2025/1/4,1.047446125
2025/1/5,1.047446125
2025/1/6,1.047446125
2025/1/7,1.049086816
2025/1/8,1.049941051
2025/1/9,1.04805118
2025/1/10,1.050640143
2025/1/11,1.049648774
2025/1/12,1.049802631
2025/1/13,1.050199924
2025/1/14,1.051479898
2025/1/15,1.051037149
2025/1/16,1.049880864
2025/1/17,1.051484446
2025/1/18,1.052202184
2025/1/19,1.05222399
2025/1/20,1.056361835
2025/1/21,1.058118861
2025/1/22,1.059309307
2025/1/23,1.058949418
2025/1/24,1.058663424
2025/1/25,1.059181855
2025/1/26,1.057409451
2025/1/27,1.051430423
2025/1/28,1.053223044
2025/1/29,1.052425597
2025/1/30,1.053535459
2025/1/31,1.053096042
2025/2/1,1.051895993
2025/2/2,1.050015426
2025/2/3,1.049778086
2025/2/4,1.047600846
2025/2/5,1.048388977
2025/2/6,1.047990939
2025/2/7,1.047050556
2025/2/8,1.048274916
2025/2/9,1.048482581
2025/2/10,1.050537313
2025/2/11,1.049674398
2025/2/12,1.050125502
2025/2/13,1.047498177
2025/2/14,1.04839483
2025/2/15,1.048529244
2025/2/16,1.048533581
2025/2/17,1.048965698
2025/2/18,1.048721538
2025/2/19,1.046568531
2025/2/20,1.046986564
2025/2/21,1.046832972
2025/2/22,1.046897328
2025/2/23,1.046732672
2025/2/24,1.047580241
2025/2/25,1.047277709
2025/2/26,1.04640088
2025/2/27,1.046147951
2025/2/28,1.045872627
2025/3/1,1.046500112
2025/3/2,1.047062094
2025/3/3,1.048027065
2025/3/4,1.0469229
2025/3/5,1.047539537
2025/3/6,1.048608803
2025/3/7,1.048869152
2025/3/8,1.048720216
2025/3/9,1.049105273
2025/3/10,1.049251305
2025/3/11,1.050182712
2025/3/12,1.050838364
2025/3/13,1.051311134
2025/3/14,1.051325558
2025/3/15,1.051386023
2025/3/16,1.05186095
2025/3/17,1.052308938
2025/3/18,1.052938048
2025/3/19,1.054925987
2025/3/20,1.055292472
2025/3/21,1.055049018
2025/3/22,1.054556619
2025/3/23,1.053260381
2025/3/24,1.054110534
2025/3/25,1.055006404
2025/3/26,1.055315701
2025/3/27,1.055916196
2025/3/28,1.05554851
2025/3/29,1.054859767
2025/3/30,1.055423554
2025/3/31,1.055024309
2025/4/1,1.055027068
2025/4/2,1.052738288
2025/4/3,1.051137509
2025/4/4,1.053096306
2025/4/5,1.052869682
2025/4/6,1.052312764
2025/4/7,1.047853509
2025/4/8,1.049798713
2025/4/9,1.049229323
2025/4/10,1.052613183
2025/4/11,1.053167221
2025/4/12,1.054495632
2025/4/13,1.054821073
2025/4/14,1.053035392
2025/4/15,1.054466778
2025/4/16,1.050936735
2025/4/17,1.051294476
2025/4/18,1.051475663
2025/4/19,1.05224262
2025/4/20,1.050801855
2025/4/21,1.052830914
2025/4/22,1.051319525
2025/4/23,1.053294162
2025/4/24,1.053969898
2025/4/25,1.055246032
2025/4/26,1.056619113
2025/4/27,1.057867295
2025/4/28,1.057660527
2025/4/29,1.058935227
2025/4/30,1.058944703
2025/5/1,1.057721261
2025/5/2,1.057396073
2025/5/3,1.058145012
2025/5/4,1.057130696
2025/5/5,1.057197379
2025/5/6,1.058932001
2025/5/7,1.057978719
2025/5/8,1.060013573
2025/5/9,1.06385522
2025/5/10,1.065596286
2025/5/11,1.068788291
2025/5/12,1.07094666
2025/5/13,1.071338127
2025/5/14,1.072539553
